is_rainy_day,Date,Count,Day of Week,Time,total_votes,mean_vote,reviews_from_users,reviews_from_critics,weighted_average_vote,num_of_movies_released,Year,max_temp/F,min_temp/F,avg_temp/F,dep_temp/F,hdd_temp/F,wtr/precipitation,avg_spd_wind,mx_spd_wind,dir_wind,ss_sky,wx_sky,spd_pk_spd,dr_pk_spd
NO,31/10/2016,147,Monday,8:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,226,Monday,7:30pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,226,Monday,7:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,138,Monday,6:30pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,22,Monday,6:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
YES,31/10/2011,53,Monday,8:15pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,197,Monday,8:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,252,Monday,7:30pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,195,Monday,7:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,172,Monday,6:30pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,0,Monday,6:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
NO,31/10/2017,66,Tuesday,8:15pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,161,Tuesday,8:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,192,Tuesday,7:30pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,167,Tuesday,7:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,149,Tuesday,6:30pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,41,Tuesday,6:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
YES,31/10/2012,20,Wednesday,8:15pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,43,38,41,-10,24,0.07,13.6,21,310,9,1,25,310
YES,31/10/2012,111,Wednesday,8:00pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,43,38,41,-10,24,0.07,13.6,21,310,9,1,25,310
YES,31/10/2012,232,Wednesday,7:30pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,43,38,41,-10,24,0.07,13.6,21,310,9,1,25,310
YES,31/10/2012,163,Wednesday,7:00pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,43,38,41,-10,24,0.07,13.6,21,310,9,1,25,310
YES,31/10/2012,147,Wednesday,6:30pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,43,38,41,-10,24,0.07,13.6,21,310,9,1,25,310
YES,31/10/2012,0,Wednesday,6:00pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,43,38,41,-10,24,0.07,13.6,21,310,9,1,25,310
NO,31/10/2008,9,Friday,8:15pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,69,35,52,2,13,0,7,15,190,0,,18,180
NO,31/10/2008,144,Friday,8:00pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,69,35,52,2,13,0,7,15,190,0,,18,180
NO,31/10/2008,147,Friday,7:30pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,69,35,52,2,13,0,7,15,190,0,,18,180
NO,31/10/2008,117,Friday,7:00pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,69,35,52,2,13,0,7,15,190,0,,18,180
NO,31/10/2008,75,Friday,6:30pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,69,35,52,2,13,0,7,15,190,0,,18,180
NO,31/10/2008,0,Friday,6:00pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,69,35,52,2,13,0,7,15,190,0,,18,180
NO,31/10/2020,8,Saturday,8:15pm,411201,5.349137931,8970,3492,4.605172414,116,2020,57,35,46,-5,19,0,9,16,160,2,,21,170
NO,31/10/2020,56,Saturday,8:00pm,411201,5.349137931,8970,3492,4.605172414,116,2020,57,35,46,-5,19,0,9,16,160,2,,21,170
NO,31/10/2020,48,Saturday,7:30pm,411201,5.349137931,8970,3492,4.605172414,116,2020,57,35,46,-5,19,0,9,16,160,2,,21,170
NO,31/10/2020,52,Saturday,7:00pm,411201,5.349137931,8970,3492,4.605172414,116,2020,57,35,46,-5,19,0,9,16,160,2,,21,170
NO,31/10/2020,44,Saturday,6:30pm,411201,5.349137931,8970,3492,4.605172414,116,2020,57,35,46,-5,19,0,9,16,160,2,,21,170
NO,31/10/2020,11,Saturday,6:00pm,411201,5.349137931,8970,3492,4.605172414,116,2020,57,35,46,-5,19,0,9,16,160,2,,21,170
YES,31/10/2014,18,Friday,8:15pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,48,36,42,-9,23,0.19,10.7,29,360,10,1,37,350
YES,31/10/2014,115,Friday,8:00pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,48,36,42,-9,23,0.19,10.7,29,360,10,1,37,350
YES,31/10/2014,124,Friday,7:30pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,48,36,42,-9,23,0.19,10.7,29,360,10,1,37,350
YES,31/10/2014,91,Friday,7:00pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,48,36,42,-9,23,0.19,10.7,29,360,10,1,37,350
YES,31/10/2014,106,Friday,6:30pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,48,36,42,-9,23,0.19,10.7,29,360,10,1,37,350
YES,31/10/2014,0,Friday,6:00pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,48,36,42,-9,23,0.19,10.7,29,360,10,1,37,350
