tconst,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt11167046,The Red Resurrection,0,2017,\N,119,"Drama,Horror,Thriller",6.8,5.0
tt11167926,Down The Cursed Road,0,2019,\N,\N,Horror,6.5,6.0
tt11167930,The Guilt,0,2019,\N,\N,Horror,6.5,6.0
tt11167934,The Drowning,0,2019,\N,\N,Horror,6.5,6.0
tt11167938,Haunted Memory Lane,0,2019,\N,\N,Horror,6.7,6.0
tt11167942,Skeletons In The Cupboard,0,2019,\N,\N,Horror,6.5,6.0
tt11167948,The King Of The Jungle,0,2019,\N,\N,Horror,7.0,5.0
tt1116935,Higurashi no naku koro ni,0,2008,\N,105,"Drama,Horror,Mystery",5.6,334.0
tt11169698,Who are you?,0,2019,\N,\N,"Horror,Short",9.2,5.0
tt11169918,Dinah,0,2019,\N,\N,"Horror,Mystery,Short",6.7,15.0
tt1117015,Eater,0,2008,\N,41,Horror,6.7,890.0
tt1117016,Chance,0,2009,\N,41,Horror,5.1,382.0
tt1117017,The Spirit Box,0,2009,\N,42,Horror,6.0,463.0
tt1117018,Echoes,0,2009,\N,42,Horror,5.2,362.0
tt1117019,The Circle,0,2009,\N,41,Horror,5.8,394.0
tt1117020,Spooked,0,2008,\N,44,Horror,5.8,796.0
tt1117021,Community,0,2008,\N,42,Horror,6.1,692.0
tt1117022,The Sacrifice,0,2008,\N,44,Horror,6.4,948.0
tt1117023,In Sickness and in Health,0,2008,\N,43,Horror,5.4,812.0
tt1117024,New Year's Day,0,2008,\N,42,Horror,5.7,764.0
tt1117025,Family Man,0,2008,\N,42,Horror,6.9,790.0
tt1117027,Skin and Bones,0,2008,\N,42,Horror,6.8,758.0
tt11172726,The Clock: Spirits Awakening,0,2019,\N,120,Horror,7.3,28.0
tt11172830,Big Freaking Rat,0,2020,\N,85,"Comedy,Horror,Sci-Fi",4.0,96.0
tt1117379,Bonnie & Clyde vs. Dracula,0,2008,\N,91,"Action,Crime,Horror",4.4,372.0
tt11174006,Mor,0,2019,\N,\N,"Adventure,Fantasy,Horror",7.7,52.0
tt11174484,The Case of the Wayward Spirit,0,2019,\N,40,"Drama,Fantasy,Horror",7.7,255.0
tt1117571,The Demon Within,0,2009,\N,93,"Horror,Thriller",4.6,34.0
tt11176336,The Dentist (1996),0,2019,\N,\N,"Comedy,Horror",8.2,12.0
tt11177430,The Unbelievable Horrors of the Old City Jail,0,2019,\N,30,"Adventure,Comedy,Horror",8.5,28.0
tt11177556,The Amityville Harvest,0,2020,\N,93,"Horror,Thriller",2.5,130.0
tt11178378,Lost Keys,0,2019,\N,9,"Horror,Mystery,Short",9.2,6.0
tt11178628,13 Steps to Hell (Washington) - Part 1,0,2020,\N,7,"Drama,Horror,Short",6.7,55.0
tt11181270,Axed (Halloween Horror),0,2016,\N,17,"Comedy,Drama,Horror",7.9,8.0
tt11182160,Halloween Hootenanny: Halloween,0,2019,\N,149,"Comedy,Fantasy,Horror",9.3,45.0
tt11182700,Halloween Hootenanny: Halloween 4: The Return of Michael Meyers,0,2019,\N,150,"Comedy,Fantasy,Horror",9.1,39.0
tt11182898,Halloween Hootenanny: Halloween 5: The Revenge of Michael Meyers,0,2019,\N,160,"Comedy,Fantasy,Horror",8.4,37.0
tt11182996,Ashnikko Feat. Yung Baby Tate: Stupid,0,2019,\N,3,"Horror,Music,Short",6.7,6.0
tt11183466,Mya Mya,0,2020,\N,103,Horror,7.4,7.0
tt11183642,The Knock,0,2019,\N,9,"Horror,Short",9.6,7.0
tt11183996,The Dentist 2 (1998),0,2019,\N,\N,"Comedy,Horror",8.3,10.0
tt11185940,The VICE Guide to Bigfoot,0,2019,\N,83,"Adventure,Comedy,Horror",6.7,49.0
tt1118655,The 7th Hunt,0,2009,\N,90,"Drama,Horror,Thriller",3.2,166.0
tt1118687,Plague Town,0,2008,\N,88,"Horror,Thriller",4.4,1682.0
tt11186892,Orisha,0,2020,\N,23,"Horror,Short",9.3,71.0
tt1118693,Staunton Hill,0,2009,\N,90,"Horror,Thriller",3.7,1164.0
tt11187380,Mural,0,2019,\N,\N,"Horror,Short",8.2,18.0
tt11187562,Downtime,0,2020,\N,33,"Drama,Fantasy,Horror",6.4,1060.0
tt11187940,The Butcher,0,2019,\N,75,Horror,5.8,45.0
tt11189494,When Darkness Calls,0,2019,\N,\N,Horror,2.5,31.0
tt1119169,Yamagata sukurîmu,0,2009,\N,115,"Comedy,Horror",5.0,102.0
tt11193212,Mr Happy,0,2012,\N,58,Horror,3.6,48.0
tt11193646,One Kill Less,0,2019,\N,8,"Drama,Horror,Short",9.0,15.0
tt11194212,The Muffin Man,0,2019,\N,2,"Horror,Short",7.4,7.0
tt11195724,Joe Bob's Red Christmas: Black Christmas,0,2019,\N,158,"Comedy,Fantasy,Horror",9.2,39.0
tt11195734,Joe Bob's Red Christmas: Jack Frost,0,2019,\N,129,"Comedy,Fantasy,Horror",8.5,38.0
tt11195762,"Joe Bob's Red Christmas: Silent Night, Deadly Night Part 2",0,2019,\N,141,"Comedy,Fantasy,Horror",9.2,37.0
tt11197444,The Fall,0,2019,\N,7,"Horror,Short",7.0,1720.0
tt11199070,Mad House,0,2019,\N,83,"Crime,Horror",3.2,24.0
tt11199414,The 22nd Floor,0,2019,\N,\N,"Comedy,Horror,Romance",9.2,8.0
tt11199514,The Haunting of Alcatraz,0,2020,\N,86,"Drama,Horror,Mystery",2.6,141.0
tt11199550,Brownie,0,2019,\N,16,"Fantasy,Horror,Short",9.0,117.0
tt11199666,2 Fathers,0,2019,\N,42,"Crime,Drama,Horror",7.5,550.0
tt11199668,Exorcism Part 2,0,2019,\N,42,"Crime,Drama,Horror",7.9,511.0
tt11199670,7 Swans a Singin',0,2019,\N,42,"Crime,Drama,Horror",8.1,517.0
tt11199672,Room 320,0,2020,\N,42,"Crime,Drama,Horror",7.9,553.0
tt11199678,Justice x 2,0,2020,\N,43,"Crime,Drama,Horror",7.6,467.0
tt11199680,Book 27,0,2020,\N,42,"Crime,Drama,Horror",8.4,474.0
tt11202622,The Beginning Of The End,0,2020,\N,\N,"Fantasy,Horror,Romance",8.9,10.0
tt11202626,Family is Forever,0,2020,\N,\N,"Fantasy,Horror,Romance",9.4,9.0
tt11202630,Goodbye Brother,0,2020,\N,\N,"Fantasy,Horror,Romance",9.4,10.0
tt11203162,The dark room,0,2019,\N,\N,"Horror,Short",8.5,6.0
tt11203346,Barbara Reimagined,0,2019,\N,65,Horror,3.6,10.0
tt11204276,The Girl in the Woods,0,2020,\N,17,Horror,6.0,12.0
tt11204372,Goblin,0,2020,\N,72,"Horror,Thriller",4.8,80.0
tt11204510,The Mystery of Blackwood Lodge,0,2019,\N,42,"Drama,Fantasy,Horror",7.9,245.0
tt11204588,Terror in the Woods,0,2019,\N,\N,"Horror,Short,Thriller",6.6,14.0
tt11205014,Los Que Vuelven,0,2019,\N,92,"Drama,Horror,Thriller",5.6,87.0
tt11205220,The Collector's Chest,0,2019,\N,8,"Horror,Short",5.3,12.0
tt11205384,Hell Fest (2018),0,2019,\N,20,"Comedy,Horror",8.2,13.0
tt11207696,Lilla Lillesyrra,0,2019,\N,5,"Comedy,Drama,Horror",4.6,5.0
